trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	64.6  	1   	7  +  4   	---     	1.85	1.766	1   	odd     	odd     
2   	66.6  	2   	9  +  4   	---     	1.851	1.077	1   	odd     	odd     
3   	68.6  	3   	6  +  9   	---     	1.851	1.093	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	104.5 	1   	6  +  7   	---     	1.85	1.792	1   	odd     	odd     
2   	106.5 	2   	3  +  8   	---     	1.851	0.992	1   	odd     	odd     
3   	108.5 	3   	9  +  3   	---     	1.85	0.896	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	144.5 	1   	7  +  5   	---     	1.851	1.408	1   	even    	even    
2   	146.5 	2   	8  +  7   	---     	1.851	1.76	1   	odd     	odd     
3   	148.5 	3   	8  +  6   	---     	1.851	0.76	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	184.5 	1   	9  +  3   	---     	1.85	1.128	1   	even    	even    
2   	186.5 	2   	4  +  7   	---     	1.85	0.808	1   	odd     	odd     
3   	188.5 	3   	5  +  9   	---     	1.851	1.048	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	224.5 	1   	5  +  7   	---     	1.851	1.609	1   	even    	even    
2   	226.6 	2   	8  +  6   	---     	1.851	0.88	1   	even    	even    
3   	228.6 	3   	9  +  7   	---     	1.851	0.848	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	264.5 	1   	6  +  5   	---     	1.851	0.985	1   	odd     	odd     
2   	266.5 	2   	9  +  5   	---     	1.851	0.953	1   	even    	even    
3   	268.5 	3   	9  +  6   	---     	1.851	0.825	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	304.5 	1   	5  +  8   	---     	1.85	1.409	1   	odd     	odd     
2   	306.5 	2   	8  +  9   	---     	1.85	1.153	1   	odd     	odd     
3   	308.5 	3   	9  +  6   	---     	1.853	0.881	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	344.5 	1   	9  +  5   	---     	1.851	1.418	1   	even    	even    
2   	346.5 	2   	3  +  9   	---     	1.851	0.817	1   	even    	even    
3   	348.5 	3   	7  +  9   	---     	1.851	0.841	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	384.5 	1   	8  +  3   	---     	1.853	1.106	1   	odd     	odd     
2   	386.5 	2   	7  +  6   	---     	1.851	1.034	1   	odd     	odd     
3   	388.5 	3   	9  +  3   	---     	1.85	0.834	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	424.5 	1   	8  +  4   	---     	1.85	0.994	1   	even    	even    
2   	426.5 	2   	7  +  7   	---     	1.85	0.818	1   	even    	even    
3   	428.5 	3   	9  +  8   	---     	1.85	1.474	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	464.5 	1   	5  +  8   	---     	1.851	1.043	1   	odd     	odd     
2   	466.5 	2   	3  +  8   	---     	1.851	1.378	1   	odd     	odd     
3   	468.5 	3   	8  +  8   	---     	1.851	0.642	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	504.5 	1   	4  +  9   	---     	1.85	1.763	1   	odd     	odd     
2   	506.5 	2   	6  +  6   	---     	1.851	0.667	1   	even    	even    
3   	508.5 	3   	2  +  9   	---     	1.851	1.139	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	544.5 	1   	8  +  3   	---     	1.851	1.228	1   	odd     	odd     
2   	546.5 	2   	4  +  8   	---     	1.851	0.739	1   	even    	even    
3   	548.5 	3   	5  +  6   	---     	1.854	0.731	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	584.5 	1   	8  +  5   	---     	1.85	1.62	1   	odd     	odd     
2   	586.5 	2   	4  +  9   	---     	1.85	0.707	1   	odd     	odd     
3   	588.5 	3   	9  +  4   	---     	1.85	0.659	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	624.5 	1   	9  +  6   	---     	1.85	1.364	1   	odd     	odd     
2   	626.5 	2   	5  +  6   	---     	1.85	1.036	1   	odd     	odd     
3   	628.5 	2   	5  +  6 (repeat 1)	---     	1.85	0.476	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	664.5 	1   	8  +  6   	---     	1.85	1.309	1   	even    	even    
2   	666.5 	2   	4  +  8   	---     	1.85	0.628	1   	even    	even    
3   	668.5 	2   	4  +  8 (repeat 1)	---     	1.85	0.461	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	704.5 	1   	8  +  8   	---     	1.85	0.996	1   	even    	even    
2   	706.5 	2   	7  +  4   	---     	1.85	1.196	1   	odd     	odd     
3   	708.5 	3   	4  +  8   	---     	1.85	0.588	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	744.5 	1   	8  +  4   	---     	1.851	0.724	1   	even    	even    
2   	746.5 	2   	9  +  5   	---     	1.85	1.324	1   	even    	even    
3   	748.5 	3   	8  +  7   	---     	1.852	0.78	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	784.5 	1   	9  +  6   	---     	1.85	1.037	1   	odd     	odd     
2   	786.5 	2   	7  +  7   	---     	1.85	0.668	1   	even    	even    
3   	788.5 	3   	8  +  5   	---     	1.85	0.924	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	824.5 	1   	2  +  9   	---     	1.85	0.894	1   	odd     	odd     
2   	826.5 	2   	5  +  8   	---     	1.85	0.885	1   	odd     	odd     
3   	828.5 	3   	8  +  6   	---     	1.85	1.309	1   	even    	even    
