trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	69.3  	1   	6  +  5   	---     	1.851	1.03	1   	odd     	odd     
2   	71.3  	2   	8  +  7   	---     	1.851	0.55	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	111.3 	1   	5  +  9   	---     	1.851	0.822	0   	odd     	even    
2   	113.3 	2   	9  +  7   	---     	1.851	0.998	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	153.3 	1   	7  +  7   	---     	1.85	0.806	1   	even    	even    
2   	155.3 	1   	7  +  7 (repeat 1)	---     	1.85	0.566	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	195.3 	1   	9  +  8   	---     	1.85	0.823	1   	odd     	odd     
2   	197.3 	2   	7  +  4   	---     	1.85	0.95	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	237.3 	1   	9  +  4   	---     	1.85	1.039	1   	odd     	odd     
2   	239.3 	2   	7  +  9   	---     	1.85	0.766	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	279.3 	1   	7  +  6   	---     	1.85	1.143	1   	odd     	odd     
2   	281.3 	2   	9  +  6   	---     	1.85	1.223	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	321.3 	1   	8  +  6   	---     	1.85	1.032	1   	even    	even    
2   	323.3 	2   	9  +  9   	---     	1.851	0.815	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	363.3 	1   	6  +  5   	---     	1.85	0.8 	1   	odd     	odd     
2   	365.3 	2   	4  +  8   	---     	1.85	0.655	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	405.3 	1   	8  +  4   	---     	1.85	0.84	1   	even    	even    
2   	407.3 	2   	7  +  5   	---     	1.85	0.648	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	447.3 	1   	9  +  5   	---     	1.85	1.048	0   	odd     	even    
2   	449.3 	1   	9  +  5 (repeat 1)	---     	1.85	0.56	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	489.3 	1   	4  +  9   	---     	1.85	1.721	1   	odd     	odd     
2   	491.3 	2   	8  +  3   	---     	1.85	0.849	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	531.3 	1   	4  +  7   	---     	1.851	0.817	1   	odd     	odd     
2   	533.3 	2   	9  +  6   	---     	1.851	0.897	1   	odd     	odd     
